"PID","CWV","ZSB","copri","infl_prestige","infl_dominance","rel_prestige","rel_dominance","self_prestige","self_dominance","TOPS_coer","TOPS_coll","care_rel","care_infl","tradeoff","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","ZSB_1","ZSB_2","ZSB_3","ZSB_4","ZSB_5R","ZSB_6R","ZSB_7","ZSB_8R","copri_1R","copri_2R","copri_3R","copri_4","exp_infl_1","exp_infl_3","exp_infl_5R","exp_infl_7","exp_infl_10","exp_infl_13","exp_infl_15","exp_infl_2","exp_infl_4","exp_infl_6","exp_infl_8","exp_infl_9R","exp_infl_11","exp_infl_12R","exp_infl_14","exp_infl_16","exp_rel_1","exp_rel_3","exp_rel_5R","exp_rel_7","exp_rel_10","exp_rel_13","exp_rel_15","exp_rel_2","exp_rel_4","exp_rel_6","exp_rel_8","exp_rel_9R","exp_rel_11","exp_rel_12R","exp_rel_14","exp_rel_16","self_1","self_3","self_5R","self_7","self_10","self_13","self_15","self_2","self_4","self_6","self_8","self_9R","self_11","self_12R","self_14","self_16","TOPS_coer_1","TOPS_coer_2","TOPS_coer_3","TOPS_coer_4","TOPS_coer_5","TOPS_coer_6","TOPS_coer_7","TOPS_coer_8","TOPS_coer_9","TOPS_coer_10","TOPS_coll_1","TOPS_coll_2","TOPS_coll_3","TOPS_coll_4","TOPS_coll_5","TOPS_coll_6","TOPS_coll_7","TOPS_coll_8","TOPS_coll_9","TOPS_coll_10","rel_care","rel_bother","infl_care","infl_bother","elg","att_1","att_2","age","employment","race","gender","income","edu","feedback"
14,1.8,2,4,6,5.55555555555556,5.71428571428571,1.55555555555556,4,2.44444444444444,2.9,6,3,2,1,3,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,4,6,6,6,6,6,2,2,1,2,2,1,2,1,1,4,5,6,4,2,3,4,2,2,2,2,4,2,4,2,2,2,4,2,3,2,2,2,5,3,4,6,6,6,6,6,6,6,6,6,6,3,3,2,2,1,1,1,29,"Full-time","white","woman","$60,001-$80,000","4yearColl",""
15,4.2,3.625,4.5,4.14285714285714,4.55555555555556,5.42857142857143,3.33333333333333,4.57142857142857,3.77777777777778,2.8,5.4,2,2,4,3,6,3,3,5,4,5,3,5,5,3,3,3,2,5,5,3,5,6,5,5,2,6,3,3,5,4,4,4,5,6,5,5,4,4,5,2,5,6,6,5,6,6,6,3,3,6,3,3,3,3,3,3,3,6,5,4,5,6,3,3,3,3,3,4,6,5,6,2,2,3,3,3,3,3,2,3,3,3,2,6,5,6,5,6,5,5,5,6,5,2,2,2,2,1,1,1,46,"Full-time","white","man","$20,001-$40,000","2yearColl",""
16,2.2,6.125,5.75,7,2.55555555555556,7,2.11111111111111,5.14285714285714,1,5.1,3.2,5,3,1,1,1,1,1,1,7,1,1,1,7,5,7,6,6,6,6,7,6,5,6,6,6,7,7,7,7,7,7,7,6,2,1,2,4,4,2,1,1,7,7,7,7,7,7,7,2,2,2,2,4,1,4,1,1,4,4,7,4,4,6,7,1,1,1,1,1,1,1,1,1,5,3,6,7,5,7,5,2,4,7,6,1,1,6,2,4,2,6,2,2,5,5,3,3,1,1,1,27,"Full-time","black","man","$40,001-$60,000","2yearColl",""
17,4.5,4.375,3.75,4.71428571428571,4.66666666666667,4.71428571428571,4.33333333333333,4.57142857142857,4.11111111111111,4.5,4.2,3.5,1.5,2,6,2,3,5,5,6,5,6,4,3,6,3,6,3,5,2,7,3,3,3,6,3,3,6,6,6,3,6,3,2,5,6,5,6,6,3,3,6,6,4,5,3,3,6,6,5,6,2,3,5,4,5,6,3,6,6,6,4,5,2,3,6,6,3,4,4,6,3,2,3,3,5,5,4,6,5,5,2,4,6,3,6,6,4,5,5,1,5,5,2,4,3,2,1,1,1,1,25,"Full-time","white","woman","$80,001-$100,000","4yearColl",""
18,3.8,3.875,3.5,4.42857142857143,3.88888888888889,4.42857142857143,4.22222222222222,4.14285714285714,4.55555555555556,4.1,4.3,3,2.5,3,5,4,4,4,3,3,2,4,5,4,4,4,3,4,3,4,6,3,4,3,2,5,4,5,3,4,6,5,4,3,4,6,3,4,5,3,3,4,4,6,4,3,4,5,5,4,5,4,5,4,5,2,6,3,3,5,4,4,3,4,6,5,5,5,4,4,5,4,5,4,3,3,4,3,5,4,6,4,5,4,5,6,4,3,5,4,3,4,4,5,3,3,2,3,0,1,0,38,"Part-time","black","woman","$20,001-$40,000","GED",""
19,2.5,6,6,5.85714285714286,3.77777777777778,5.71428571428571,3.66666666666667,5.14285714285714,2.11111111111111,6,6,3,2,3,2,2,2,2,2,2,2,2,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,4,7,6,6,6,6,4,4,4,4,4,4,4,4,2,6,4,6,6,6,6,6,6,3,4,4,4,4,4,2,2,6,4,7,6,6,6,1,2,1,1,1,4,3,5,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,2,2,1,1,1,26,"Full-time","white","man","$40,001-$60,000","4yearColl",""
20,3.6,4.875,5,6,2.77777777777778,5.71428571428571,2,5.42857142857143,3.77777777777778,2.3,6.1,5,3,3,5,3,4,5,2,6,3,3,3,2,5,6,5,5,5,4,6,3,5,5,5,5,6,5,7,6,4,7,7,4,1,3,3,5,1,6,1,1,6,2,7,6,6,7,6,1,1,2,1,6,1,4,1,1,6,5,6,6,5,5,5,5,4,3,5,5,3,5,2,2,3,2,2,1,2,4,2,3,1,3,7,7,5,7,6,6,7,5,6,5,5,5,3,3,1,1,1,33,"Full-time","asian","woman","$40,001-$60,000","4yearColl",""
21,5,2.625,1.5,7,4,6.85714285714286,1.77777777777778,7,1.44444444444444,2,5.9,5,1.5,2,6,6,2,3,6,6,3,6,7,5,2,3,2,2,2,2,6,2,1,1,2,2,7,7,7,7,7,7,7,5,7,3,6,6,1,6,1,1,7,6,7,7,7,7,7,1,1,1,2,1,1,7,1,1,7,7,7,7,7,7,7,1,1,1,1,2,1,3,1,2,3,1,2,2,2,3,2,1,2,2,6,5,6,7,5,5,6,6,7,6,5,5,2,1,1,1,1,30,"Part-time","white","man","$0-$20,000","4yearColl",""
22,3.2,3.125,4,5.71428571428571,3,6.14285714285714,2.55555555555556,4.57142857142857,3.11111111111111,4.4,5,5,1,3,5,5,3,4,2,4,2,2,2,3,3,3,3,3,3,3,4,3,3,5,3,5,6,5,6,6,6,6,5,3,3,3,3,3,3,3,3,3,7,6,7,7,5,6,5,2,2,2,2,2,3,5,2,3,4,5,4,4,5,5,5,3,3,3,3,3,3,3,4,3,3,5,6,4,2,6,5,6,2,5,6,6,5,5,5,6,6,3,5,3,5,5,1,1,1,1,1,31,"Full-time","hispanic","man","$60,001-$80,000","MA",""
23,2.9,2,4.25,6.28571428571429,2.55555555555556,6.71428571428571,2,5.71428571428571,2.33333333333333,3.6,5.4,3.5,2.5,2,2,3,2,2,1,5,2,2,5,5,2,2,2,2,2,2,2,2,6,5,2,4,6,5,6,6,7,7,7,2,2,2,2,5,3,3,2,2,7,5,7,7,7,7,7,3,2,1,2,2,2,2,2,2,5,6,6,5,6,6,6,4,2,1,2,2,2,4,2,2,5,4,5,3,2,3,3,3,3,5,6,6,5,6,5,5,5,4,6,6,4,3,2,3,1,1,1,33,"Part-time","white","woman","$20,001-$40,000","4yearColl",""
24,3.1,2.125,3,6,3.55555555555556,5.85714285714286,1.88888888888889,4.85714285714286,1.33333333333333,4.7,4.2,5,1,2,6,2,2,2,2,6,2,2,2,5,2,1,2,2,2,2,4,2,3,3,3,3,6,7,6,7,5,5,6,6,2,3,6,5,2,5,2,1,7,4,7,6,6,5,6,2,1,2,1,3,2,3,2,1,6,5,7,6,3,3,4,1,1,1,1,2,1,3,1,1,5,5,5,6,5,2,5,2,5,7,6,3,3,2,3,6,5,5,5,4,5,5,1,1,1,1,1,48,"Full-time","white","woman","$60,001-$80,000","4yearColl",""
25,2.4,2.375,5.25,6.28571428571429,2.33333333333333,5.28571428571429,1.88888888888889,4.42857142857143,1.88888888888889,3.6,4.6,4,1.5,2,2,3,2,2,3,2,2,2,3,3,2,2,2,2,3,3,2,3,6,6,5,4,7,4,6,6,7,7,7,2,2,1,2,4,2,4,2,2,5,4,5,5,6,6,6,2,2,1,1,2,3,2,2,2,5,2,6,4,5,5,4,1,1,1,1,3,2,4,2,2,3,3,3,3,3,5,3,3,5,5,5,5,5,3,5,5,5,5,5,3,4,4,2,1,1,1,1,NA,"Full-time",NA,NA,NA,"MA",""
26,3.5,6.625,1,5,3.77777777777778,6.42857142857143,2.55555555555556,2.42857142857143,2.55555555555556,5.7,2.3,3.5,2,2,6,6,2,1,4,5,4,1,2,4,6,7,7,6,7,6,7,7,1,1,1,1,5,5,4,4,6,6,5,6,5,2,6,6,3,3,1,2,7,5,7,7,6,6,7,2,2,1,1,5,5,4,1,2,1,3,1,1,6,2,3,1,3,1,1,3,2,3,2,7,6,6,7,6,6,6,1,6,6,7,2,6,1,1,1,6,2,1,1,2,4,3,1,3,1,1,1,41,"Full-time","white","man","Over $200,000","PHD",""
27,3.1,3.5,5,4.71428571428571,4.33333333333333,5,3,4.42857142857143,2.66666666666667,3.6,3.5,1,1,3,2,3,2,4,3,2,3,3,2,7,4,2,4,4,2,4,4,4,6,6,5,3,5,4,4,5,5,5,5,5,5,5,5,5,4,4,3,3,5,4,5,5,6,5,5,3,3,2,3,4,2,4,2,4,2,4,6,3,6,5,5,1,2,3,2,4,4,3,1,4,3,3,5,4,2,3,3,4,4,5,2,2,4,2,4,3,4,4,5,5,1,1,1,1,1,1,1,44,"Full-time","white","man","$20,001-$40,000","GED","thanks for a decent pay rate it was interesting!"
28,3,3,5.75,5.28571428571429,3.55555555555556,5,2.88888888888889,5,2.77777777777778,3.7,5.1,3.5,2,2,3,3,4,2,3,4,3,3,2,3,2,4,3,3,3,3,3,3,6,6,6,5,5,5,5,6,5,5,6,3,5,3,3,4,4,4,3,3,5,4,6,5,5,5,5,3,3,2,2,4,3,4,3,2,4,5,6,4,5,5,6,3,3,2,3,4,2,4,2,2,3,3,5,3,3,3,4,4,4,5,6,5,5,5,5,5,5,4,6,5,4,3,2,2,1,1,1,48,"Full-time","white","man","$140,001-$160,000","4yearColl",""
29,4.9,2.75,1.75,5.85714285714286,3.77777777777778,6,3,6.28571428571429,5,5.9,5.5,2.5,2,5,7,6,4,6,3,6,2,7,3,5,2,3,2,1,3,3,6,2,1,2,2,2,7,3,6,6,7,6,6,5,3,4,6,6,3,4,1,2,6,5,6,6,6,6,7,4,1,2,1,5,3,4,3,4,6,5,6,6,7,7,7,4,6,6,7,7,6,4,2,3,6,6,5,6,6,5,6,6,7,6,6,6,7,3,5,6,7,6,5,4,3,2,2,2,1,1,1,56,"Full-time","white","man","$100,001-$120,000","MA",""
30,4.4,5.25,2.25,6,2.66666666666667,6.14285714285714,2.22222222222222,5.85714285714286,3.11111111111111,3.8,5.7,4.5,1.5,4,7,7,1,3,2,6,4,2,6,6,5,5,6,5,5,5,6,5,2,3,2,2,5,2,7,7,7,7,7,6,1,1,2,2,2,6,1,3,7,3,7,7,5,7,7,3,1,2,1,3,2,5,1,2,7,7,7,5,5,4,6,3,2,4,4,4,2,4,3,2,2,3,4,2,3,5,3,6,3,7,7,5,6,6,7,5,6,7,4,4,4,5,2,1,1,1,1,40,"Full-time","white","woman","$80,001-$100,000","GED",""
31,2.3,3.875,3,6.71428571428571,2.77777777777778,7,1.66666666666667,4,1.44444444444444,5.2,4.4,3.5,1,1,4,1,2,1,1,5,1,1,2,5,3,4,4,3,5,3,5,4,3,3,3,3,7,7,7,7,7,6,6,2,1,1,4,4,4,4,4,1,7,7,7,7,7,7,7,1,1,1,1,4,1,4,1,1,4,4,3,4,4,4,5,3,1,1,3,1,1,1,1,1,6,6,5,5,4,4,5,5,5,7,4,3,4,3,3,3,4,6,7,7,3,4,1,1,1,1,1,36,"Full-time","white","woman","Over $200,000","2yearColl",""
32,1.6,2.5,4.75,6.57142857142857,3.33333333333333,6.14285714285714,1,5.85714285714286,1,3.1,5.5,5,1,1,1,1,1,1,1,4,1,1,1,4,4,1,4,1,1,1,4,4,4,7,4,4,7,4,7,7,7,7,7,4,4,4,4,4,4,4,1,1,7,4,7,7,4,7,7,1,1,1,1,1,1,1,1,1,6,4,7,6,4,7,7,1,1,1,1,1,1,1,1,1,1,4,4,4,1,4,4,2,2,5,7,7,4,7,4,7,4,4,7,4,5,5,1,1,1,1,1,41,"Full-time","white","man","$20,001-$40,000","GED",""
33,4.1,4.5,3.25,4.85714285714286,5,4.42857142857143,4.77777777777778,4.85714285714286,4.22222222222222,5.2,5.6,4,4,2,5,3,6,6,2,4,3,6,3,3,5,6,5,5,3,3,5,4,3,2,3,5,5,5,3,6,5,5,5,5,5,5,6,4,5,4,6,5,5,4,3,4,4,6,5,7,6,6,5,3,4,2,5,5,5,6,2,5,6,5,5,5,5,3,5,2,5,3,5,5,5,5,5,5,5,5,5,6,5,6,6,5,5,6,5,6,6,6,5,6,4,4,4,4,1,1,1,28,"Full-time","white","man","$80,001-$100,000","4yearColl",""
34,2.3,2.5,4.5,6.42857142857143,3.77777777777778,5.71428571428571,2.22222222222222,6.28571428571429,1.77777777777778,4.3,6.1,4,3,2,2,2,2,2,2,5,1,1,2,4,2,2,2,4,2,2,4,2,6,5,4,3,7,4,6,7,7,7,7,6,4,4,3,3,4,5,2,3,6,2,6,7,5,7,7,2,2,2,1,3,4,2,1,3,7,4,6,7,6,7,7,1,1,2,2,2,2,4,1,1,2,6,6,5,2,6,2,5,3,6,7,6,6,7,6,7,6,4,6,6,4,4,3,3,1,1,1,33,"Full-time","white","man","$20,001-$40,000","GED",""
35,3.6,6.125,1,5.57142857142857,1.22222222222222,6,1,5.28571428571429,3,6.4,4.1,3,3,3,5,2,3,1,1,7,3,1,6,7,7,7,7,7,5,4,5,7,1,1,1,1,6,4,5,6,6,6,6,1,1,1,1,2,1,2,1,1,7,2,5,7,7,7,7,1,1,1,1,1,1,1,1,1,5,7,2,5,7,4,7,4,4,4,1,1,4,4,1,4,7,7,7,7,4,7,6,7,6,6,4,4,1,1,1,7,4,7,7,5,3,3,3,3,1,1,1,31,"Full-time","multiracial","woman","$20,001-$40,000","2yearColl",""
36,3.4,4.25,3,5.85714285714286,5,5.57142857142857,2.88888888888889,6,2.55555555555556,5,3.2,4.5,2.5,2,5,3,2,3,2,5,3,1,5,5,5,5,5,5,3,3,3,5,4,3,3,2,6,5,5,7,6,6,6,6,6,6,5,5,5,5,5,2,6,3,6,6,6,6,6,3,3,3,3,3,3,3,3,2,6,5,6,6,7,6,6,4,2,2,3,4,2,3,1,2,5,5,5,5,5,5,5,3,6,6,3,2,3,2,3,3,5,5,3,3,4,5,2,3,1,1,1,NA,"Full-time","white","man","$100,001-$120,000","MA",""
37,3.1,3,4,6.14285714285714,3.33333333333333,6.14285714285714,2.33333333333333,5.28571428571429,3.22222222222222,3.6,5.2,2,2,4,3,3,3,4,2,3,3,3,3,4,3,3,3,3,3,3,3,3,4,5,3,4,6,6,6,7,6,6,6,4,2,3,3,2,5,4,5,2,7,5,6,6,6,6,7,4,2,1,2,5,2,3,1,1,6,5,6,5,5,5,5,3,3,3,3,3,5,4,2,3,2,3,3,4,3,4,4,3,5,5,6,4,5,6,5,5,5,6,5,5,2,2,2,2,1,1,1,37,"Full-time","white","man","Over $200,000","4yearColl",""
38,4.1,4,4.25,5.42857142857143,3.66666666666667,4.57142857142857,3.66666666666667,4.57142857142857,4.11111111111111,4.1,4.3,3,2.5,2,4,3,4,5,4,5,4,5,4,3,4,4,3,5,3,4,5,4,5,3,5,4,6,6,5,6,5,5,5,4,3,3,4,4,6,5,2,2,5,5,4,5,5,3,5,4,5,3,3,4,5,2,2,5,5,4,6,4,4,4,5,4,4,4,3,5,4,4,5,4,4,3,5,3,5,5,4,3,5,4,5,5,5,3,5,4,3,5,4,4,3,3,2,3,0,0,1,35,"Full-time","white","man","$40,001-$60,000","4yearColl",""
39,4.6,3.875,1.25,6.71428571428571,2.11111111111111,5.85714285714286,1.22222222222222,5.28571428571429,1.33333333333333,3.9,4.6,4,1.5,2,6,5,7,7,2,7,1,2,6,3,2,3,3,3,3,5,6,6,1,1,1,2,7,6,7,6,7,7,7,1,2,1,1,6,3,2,2,1,6,6,7,6,5,5,6,2,1,1,1,1,2,1,1,1,4,6,7,4,6,5,5,1,2,1,1,1,3,1,1,1,6,5,3,3,3,3,2,3,6,5,7,2,5,2,5,2,6,6,6,5,4,4,2,1,1,1,1,35,"Full-time","asian","man","$60,001-$80,000",NA,""
40,2.1,3.5,4.5,5.28571428571429,4.44444444444444,5.28571428571429,1.77777777777778,5.14285714285714,3.66666666666667,3.8,5.3,3,2,3,4,2,2,2,1,2,2,2,1,3,2,2,2,2,6,6,2,6,4,4,4,6,6,6,4,6,6,5,4,6,4,5,6,5,4,5,3,2,4,5,6,5,5,6,6,2,2,2,2,2,2,2,1,1,5,6,5,4,5,6,5,4,2,2,2,2,5,4,6,6,3,4,4,4,4,4,5,3,3,4,6,5,4,6,5,5,6,5,6,5,4,2,2,2,1,1,1,30,"Full-time","white","woman","$40,001-$60,000","4yearColl",""
41,2,2.25,6.5,6.42857142857143,2.55555555555556,5.85714285714286,2.22222222222222,5.57142857142857,2.66666666666667,2.9,6,4,2.5,3,2,2,2,2,1,3,1,1,3,3,4,2,1,1,2,1,5,2,7,6,6,7,7,6,5,7,6,7,7,3,3,2,2,2,3,4,1,3,6,6,5,6,5,7,6,2,1,1,2,6,1,4,1,2,6,5,6,6,6,5,5,3,5,1,3,2,2,5,1,2,2,1,2,2,1,3,4,3,6,5,7,7,5,6,6,6,7,5,7,4,4,4,2,3,1,1,1,28,"Full-time","white","woman","$40,001-$60,000","4yearColl",""
42,2.7,1,6,6.42857142857143,2.88888888888889,6.71428571428571,3.11111111111111,5,4.88888888888889,2.3,4.1,3.5,4,4,2,5,1,3,3,2,2,2,5,2,1,1,1,1,1,1,1,1,6,6,6,6,6,5,6,7,7,7,7,2,2,2,2,4,3,5,2,4,7,5,7,7,7,7,7,4,2,2,2,4,3,4,3,4,4,5,6,4,6,6,4,7,6,6,4,6,4,7,1,3,2,2,2,2,2,2,3,3,2,3,5,4,5,2,4,3,5,3,6,4,4,3,4,4,1,1,1,38,"Full-time","multiracial","man","$60,001-$80,000","GED",""
