"PID","Status","Progress","Duration..in.seconds.","Finished","consent","commit","CWV_1","CWV_2","CWV_3","CWV_4","CWV_5","CWV_6","CWV_7","CWV_8","CWV_9","CWV_10","check_1","ZSB_1","ZSB_2","ZSB_3","ZSB_4","ZSB_5","ZSB_6","ZSB_7","ZSB_8","copri_1","copri_2","copri_3","copri_4","exp_infl_1","exp_infl_2","exp_infl_3","exp_infl_4","exp_infl_5","exp_infl_6","exp_infl_7","exp_infl_8","exp_infl_9","exp_infl_10","exp_infl_11","exp_infl_12","exp_infl_13","exp_infl_14","exp_infl_15","exp_infl_16","exp_rel_1","exp_rel_2","exp_rel_3","exp_rel_4","exp_rel_5","exp_rel_6","exp_rel_7","exp_rel_8","check_2","exp_rel_9","exp_rel_10","exp_rel_11","exp_rel_12","exp_rel_13","exp_rel_14","exp_rel_15","exp_rel_16","TOPS_coer_1","TOPS_coer_2","TOPS_coer_3","TOPS_coer_4","TOPS_coer_5","TOPS_coer_6","TOPS_coer_7","TOPS_coer_8","TOPS_coer_9","TOPS_coer_10","TOPS_coll_1","TOPS_coll_2","TOPS_coll_3","TOPS_coll_4","TOPS_coll_5","TOPS_coll_6","TOPS_coll_7","TOPS_coll_8","TOPS_coll_9","TOPS_coll_10","infl_care","rel_care","infl_bother","rel_bother","tradeoff","self_1","self_2","self_3","self_4","self_5","self_6","self_7","self_8","self_9","self_10","self_11","self_12","self_13","self_14","self_15","self_16","age","gender_.99_TEXT","race_5_TEXT","feedback","Employment_1","Employment_2","Employment_3","Employment_4","Employment_5","Employment_6","Employment_7","Employment_8","Employment_9","gender","race_1","race_2","race_3","race_4","race_5","race_6","edu","income"
42,"0","100","349","1","1","1","2","3","1","3","5","2","6","2","3","6","5","1","1","1","1","7","7","1","7","2","2","2","6","6","2","5","2","2","2","7","2","4","7","3","3","7","2","7","4","7","4","5","2","1","2","7","2","1","4","7","3","4","7","3","7","4","2","2","2","2","2","2","3","3","2","3","5","4","5","2","4","3","5","3","6","4","4","4","4","3","4","4","7","5","6","2","6","4","4","2","6","4","1","6","1","4","3","38","","","","Full-time","","","","","","","","","man","","","white","hispanic","","","GED","$60,001-$80,000"
43,"0","100","353","1","1","1","4","4","4","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","4","4","5","4","3","4","4","4","4","4","4","4","4","4","4","4","32","","","Good","","Part-time","","","","","","","","man","","","white","","","","MA","$40,001-$60,000"
44,"0","100","507","1","1","1","3","3","1","1","6","2","6","1","6","5","5","1","1","1","1","7","7","1","7","4","3","4","5","7","2","7","1","1","5","7","2","1","7","1","2","7","4","7","1","7","2","2","1","1","1","7","2","1","5","6","1","5","6","1","6","1","5","4","5","4","3","3","5","6","6","5","3","1","2","1","3","6","5","4","3","4","2","5","1","4","4","6","1","6","1","2","1","6","1","7","5","1","7","5","1","4","1","28","","","","Full-time","","","","","","","","","woman","","","white","","","","MA","$160,001-$180,000"
45,"0","100","331","1","1","1","4","4","4","4","4","4","7","4","4","4","5","4","4","4","4","4","6","4","4","4","5","5","3","6","5","6","2","2","2","6","2","4","7","5","4","6","1","6","1","5","5","2","1","1","2","6","2","1","5","6","4","2","6","1","6","1","5","4","5","6","4","3","6","5","4","6","6","6","5","5","6","6","6","6","6","4","5","5","3","3","2","5","6","6","5","2","3","7","4","2","6","7","2","6","2","6","2","35","","","","Full-time","","","","","","","","","man","","","white","","","","MA","Over $200,000"
46,"0","100","467","1","1","1","5","5","1","2","6","1","6","1","3","6","5","3","3","2","2","5","6","3","6","3","3","3","5","7","5","7","2","1","3","7","4","4","7","2","5","7","3","7","1","7","4","7","3","1","3","7","3","1","6","6","1","5","5","1","7","1","4","3","4","2","3","1","5","4","3","6","6","5","5","3","5","6","6","6","7","7","3","4","2","4","4","6","6","5","5","2","5","6","5","4","5","4","3","5","5","6","2","42","","","","Full-time","","","","","","","","","woman","","","white","","","","GED","$60,001-$80,000"
47,"0","100","425","1","1","1","3","5","4","6","3","5","5","3","3","4","5","5","3","3","5","3","4","5","4","5","4","4","5","1","1","2","1","4","1","5","1","4","5","1","2","3","3","4","2","4","1","4","1","1","1","4","1","1","3","4","1","3","4","1","7","3","3","3","5","3","3","4","3","4","5","4","6","4","6","5","5","5","6","5","6","5","2","3","2","3","3","5","5","4","3","4","4","3","5","5","3","3","4","4","4","5","3","25","","","","Full-time","","","","","","","","","man","asian","","","","","","4yearColl","$60,001-$80,000"
48,"0","100","509","1","1","1","3","5","2","1","7","3","6","2","5","5","5","2","2","2","2","5","6","5","6","4","2","2","6","6","3","5","2","3","2","6","2","4","7","5","4","7","1","6","2","6","3","3","2","3","2","7","2","1","6","5","2","4","6","1","6","1","2","3","3","3","3","5","3","3","3","5","6","6","6","5","6","6","5","5","5","4","1","3","1","2","2","5","1","4","4","2","1","5","2","6","3","2","5","5","1","5","2","24","","","","Full-time","","","","","","","","","woman","asian","","","","","","4yearColl","$60,001-$80,000"
49,"0","100","450","1","1","1","6","5","4","6","6","5","4","2","1","1","5","2","4","6","2","4","3","6","4","5","5","6","1","7","3","7","2","1","5","7","5","4","7","2","4","7","3","7","1","7","3","6","1","1","2","7","2","1","5","7","3","4","7","3","7","1","6","5","4","3","5","3","6","2","2","5","6","7","5","6","7","7","7","6","6","5","5","5","4","5","4","6","4","7","5","1","5","7","5","7","6","4","2","7","3","6","2","31","","","I don't have any further comments, thanks.","Full-time","","","","","","","","","man","","","white","hispanic","","","PHD","$80,001-$100,000"
50,"0","100","436","1","1","1","3","4","2","2","6","2","6","1","5","6","5","2","5","3","3","1","6","2","6","3","3","3","5","6","4","5","5","1","5","6","5","4","6","3","3","7","5","6","2","5","2","5","1","3","2","6","2","1","7","5","3","4","5","1","5","2","2","5","5","3","3","5","5","3","6","3","5","6","6","5","4","7","5","6","6","5","1","3","1","3","3","4","1","5","1","2","2","4","1","6","3","2","7","5","1","4","2","53","","","","Full-time","","","","","","","","","man","","","white","","","","2yearColl","$60,001-$80,000"
51,"0","100","454","1","1","1","5","5","5","5","6","5","5","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","5","6","6","6","6","6","5","6","5","6","5","5","5","5","5","5","3","5","5","1","3","5","5","5","6","3","3","3","5","5","5","5","5","5","5","5","5","5","5","3","5","6","5","6","6","6","6","6","3","3","2","2","4","4","4","4","4","4","3","5","4","2","4","5","3","4","4","5","4","36","","","","","Part-time","","","","","","","","man","","","white","","","","2yearColl","$60,001-$80,000"
52,"0","100","333","1","1","1","1","7","1","1","7","1","7","1","6","6","5","1","1","1","1","7","7","1","7","1","1","1","7","7","2","6","1","1","1","7","1","7","7","1","5","7","1","7","1","7","1","4","1","1","1","7","1","1","7","7","1","6","7","1","7","1","1","1","1","1","1","1","1","1","1","1","7","7","7","7","7","7","7","7","7","7","3","5","3","5","1","6","4","5","1","1","1","6","1","6","6","1","2","6","1","6","1","48","","","","Full-time","","","","","","","","","woman","asian","","white","","","","MA","$140,001-$160,000"
53,"0","100","515","1","1","1","2","6","2","2","6","2","6","1","4","4","5","2","2","2","2","2","6","2","6","2","4","4","4","7","1","5","1","2","1","7","1","4","6","1","4","7","1","7","3","5","1","4","3","4","1","4","1","1","6","4","1","7","4","1","6","2","2","4","4","2","1","4","5","2","2","4","6","6","6","6","6","6","6","6","6","4","1","4","1","3","5","3","1","4","3","3","2","3","2","6","2","2","7","4","1","4","2","49","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$40,001-$60,000"
54,"0","100","507","1","1","1","6","2","2","2","6","7","6","2","6","2","5","6","6","6","6","2","2","6","2","7","6","7","2","7","2","6","2","1","1","7","2","7","7","1","4","7","2","7","1","6","2","7","7","1","2","7","2","1","7","7","1","4","7","1","7","1","7","6","6","6","1","5","1","7","6","6","6","3","6","6","2","6","6","6","2","3","5","5","5","5","2","6","7","7","5","2","3","7","3","3","7","6","2","2","3","6","2","30","","","","Full-time","","","","","","","","","woman","","black","","","","","GED","$40,001-$60,000"
55,"0","100","424","1","1","1","5","3","5","6","7","5","6","3","5","5","5","7","6","5","5","6","6","6","3","5","6","5","5","5","3","4","6","2","3","6","3","2","6","3","2","6","2","6","3","6","2","3","2","2","2","5","3","1","2","3","3","2","6","1","6","2","5","6","6","6","5","6","5","5","5","6","5","6","6","6","5","3","6","5","5","6","1","4","2","4","4","5","2","5","3","1","2","4","2","5","4","2","5","6","2","6","1","38","","","","Full-time","","","","","","","","","woman","","","white","","","","4yearColl","$60,001-$80,000"
56,"0","100","499","1","1","1","5","4","4","5","5","7","3","2","5","5","5","5","5","7","5","3","2","5","3","5","5","5","2","7","3","5","2","2","1","6","3","3","6","5","3","7","5","6","1","7","2","5","2","2","1","7","3","1","5","5","3","5","6","2","7","2","5","3","4","5","2","5","3","5","3","7","6","5","4","4","5","7","5","6","5","3","2","3","2","4","2","5","3","4","2","2","5","4","4","3","6","4","5","7","4","6","3","32","","","","","Part-time","","","","","","","","woman","","","white","","","","2yearColl","$60,001-$80,000"
57,"0","100","435","1","1","1","7","5","3","2","4","3","5","5","6","5","5","4","5","4","3","5","5","6","3","4","6","6","4","6","3","5","3","2","2","5","2","3","3","4","3","7","3","5","2","5","2","1","2","1","1","5","1","1","6","5","3","2","7","1","5","2","4","5","4","5","5","4","6","3","6","6","2","5","4","5","5","5","5","4","5","5","1","3","1","2","2","5","3","6","2","2","2","5","1","7","5","3","4","5","3","4","2","24","","","","Full-time","","","","","","","","","man","asian","","","","","","4yearColl","$60,001-$80,000"
58,"0","100","532","1","1","1","2","6","2","3","6","3","7","1","4","6","5","2","2","1","1","6","6","5","6","3","2","3","5","7","3","7","1","1","2","7","3","4","7","3","2","7","2","7","1","7","1","5","1","1","1","7","1","1","7","7","2","7","7","1","7","1","2","2","3","2","1","3","1","2","1","5","6","4","6","5","6","6","6","5","7","7","3","4","3","4","2","7","4","7","4","1","2","7","3","4","7","3","4","5","1","7","1","33","","","","Full-time","","","","","","","","","man","asian","","","","","","4yearColl","$180,001-$200,000"
59,"0","100","474","1","1","1","5","3","3","3","5","5","4","2","4","3","5","2","6","2","2","2","6","5","6","5","5","5","3","7","5","6","5","1","5","6","3","4","7","6","4","6","2","6","4","6","4","7","3","1","3","6","2","1","4","6","6","1","6","2","6","2","3","4","3","3","3","3","5","3","4","3","4","4","5","5","4","5","4","5","5","5","4","4","3","3","4","5","4","6","5","2","5","5","4","2","6","5","2","6","3","6","2","38","","","thanks","Full-time","","","","","","","","","man","","","white","","","","4yearColl","Over $200,000"
60,"0","100","499","1","1","1","5","6","1","2","7","3","6","1","5","3","5","3","3","3","3","3","6","3","5","2","3","3","4","7","3","6","1","1","2","6","1","6","6","1","3","7","2","7","1","7","3","3","1","2","3","6","1","1","6","6","2","5","7","1","6","2","2","3","3","2","2","3","3","3","2","2","7","6","6","7","7","7","5","6","6","6","1","3","1","3","1","5","1","6","2","4","2","5","1","6","5","2","6","4","1","5","1","28","","","","Full-time","","","","","","","","","woman","","","white","","","","GED","$40,001-$60,000"
61,"0","100","512","1","1","1","6","3","3","5","4","4","5","5","5","6","5","5","4","4","5","3","4","6","3","6","6","6","4","4","4","4","3","4","5","5","4","4","2","4","4","6","5","6","4","6","3","5","3","1","5","6","3","1","7","6","2","6","4","2","4","2","5","5","5","5","5","5","5","5","6","6","4","4","5","3","5","4","5","6","4","2","2","3","2","3","3","6","2","7","1","2","2","7","1","4","3","3","4","4","1","4","2","29","","","","Full-time","","","","","","","","","man","","","white","","","","MA","$60,001-$80,000"
62,"0","100","382","1","1","1","4","6","1","2","6","6","7","2","6","2","5","2","2","2","2","2","4","5","6","4","1","6","6","7","2","4","1","1","2","6","2","4","7","1","4","6","1","6","1","6","1","4","1","1","1","5","2","1","4","7","1","4","7","1","6","1","2","5","2","3","2","2","2","2","6","6","6","7","4","6","4","7","6","4","6","5","1","3","3","1","1","6","5","4","1","1","1","6","4","4","6","2","2","6","1","7","1","33","","","","Full-time","","","","","","","","","man","","","white","","","","2yearColl","$20,001-$40,000"
63,"0","100","418","1","1","1","4","4","4","4","4","4","4","4","4","4","5","2","2","2","2","6","6","2","6","4","4","4","4","7","1","6","1","1","3","7","4","4","7","1","4","7","3","7","1","7","1","4","1","1","4","7","1","1","4","6","1","7","6","1","6","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","5","1","5","2","6","1","4","2","2","4","6","4","6","4","1","7","6","1","6","1","36","","","","Full-time","","","","","","","","","man","","","white","","","","2yearColl","$40,001-$60,000"
64,"0","100","513","1","1","1","2","6","1","1","7","4","7","1","7","7","5","6","7","7","7","7","2","7","2","5","5","5","2","7","1","6","2","1","4","7","3","1","7","4","6","7","4","7","2","7","1","2","1","1","1","7","1","1","6","7","1","7","7","1","6","1","7","7","7","7","7","7","7","7","7","7","2","1","1","1","1","1","1","5","2","1","1","4","1","4","4","7","1","4","2","1","1","7","2","5","7","1","7","7","1","7","1","58","","","","","","","","","","","","Other","woman","","","white","","","","GED","$0-$20,000"
65,"0","100","459","1","1","1","1","7","1","1","7","1","7","1","7","7","5","2","2","2","2","4","6","2","6","1","2","1","7","7","3","6","2","2","2","7","2","4","7","2","4","7","1","6","2","6","1","2","2","2","1","2","1","1","5","5","2","5","6","1","6","1","1","1","2","1","1","2","2","2","1","2","6","7","7","7","7","7","6","6","6","6","4","5","3","4","3","3","2","3","2","4","1","3","2","4","4","2","4","3","1","3","1","70","","","none","Full-time","","","","","","","","","man","","","white","","","","GED","$20,001-$40,000"
66,"0","100","488","1","1","1","5","5","2","3","5","4","6","4","5","4","5","4","3","4","4","5","5","5","6","4","4","5","4","7","5","5","1","1","2","7","2","6","6","3","5","7","2","7","2","7","4","7","2","1","1","7","1","1","6","7","3","6","6","2","6","2","4","3","5","4","5","4","5","5","5","4","5","5","5","3","4","5","6","4","5","5","1","4","2","4","2","4","2","4","1","3","2","4","1","5","4","2","5","2","1","1","2","39","","","","Full-time","","","","","","","","","woman","","black","","","","","4yearColl","$100,001-$120,000"
67,"0","100","377","1","1","1","2","6","2","2","5","3","5","2","5","5","5","3","3","3","3","3","5","3","5","2","2","2","5","5","2","3","2","2","2","6","2","4","6","3","4","6","3","6","2","5","2","3","2","2","2","6","2","1","4","6","2","5","5","3","6","2","3","3","3","3","3","3","3","3","4","5","5","5","5","5","5","5","5","5","5","5","1","4","1","3","2","3","1","1","1","1","1","3","1","5","3","1","5","2","1","3","2","63","","","","","Part-time","","","","","","","","woman","","","white","","","","2yearColl","$0-$20,000"
68,"0","100","533","1","1","1","1","6","1","1","7","2","7","1","6","6","5","2","4","2","2","4","6","2","6","4","2","4","5","7","4","4","1","1","2","7","4","4","7","1","4","7","2","7","2","6","4","1","1","1","1","6","1","1","6","6","1","4","7","1","7","2","2","4","4","2","2","2","2","2","2","4","6","7","6","5","7","7","7","6","7","6","3","4","3","5","3","7","5","5","1","1","1","7","1","4","7","1","2","7","1","7","1","","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$60,001-$80,000"
69,"0","100","372","1","1","1","1","7","1","1","7","2","7","1","5","6","5","4","4","4","4","4","5","4","5","1","1","1","7","7","1","5","1","1","1","7","1","6","6","1","6","5","1","7","1","7","2","4","1","1","1","7","1","1","5","4","2","4","6","1","7","2","2","2","2","3","2","3","3","4","2","5","6","5","6","5","5","5","5","5","6","5","2","4","4","5","1","6","1","6","1","1","1","6","1","6","6","3","4","6","1","6","1","72","","","","Full-time","","","","","","","","","man","","","white","","","","2yearColl","$40,001-$60,000"
70,"0","100","406","1","1","1","1","7","1","1","7","1","7","1","5","7","5","1","1","1","1","7","7","1","7","1","1","1","7","7","7","7","1","1","1","7","7","7","7","4","4","7","1","7","1","7","4","7","1","1","1","7","4","1","7","7","4","1","7","1","7","1","1","1","1","1","1","1","1","1","1","1","7","7","7","7","7","7","7","7","7","7","5","5","3","3","5","7","7","7","1","1","1","7","7","1","7","7","1","7","1","7","1","33","","","","Full-time","","","","","","","","","woman","","black","","","","","PHD","Over $200,000"
71,"0","100","445","1","1","1","6","6","6","6","5","6","4","6","5","5","5","5","5","7","3","3","7","5","2","6","2","7","5","6","2","6","6","2","1","4","2","4","6","7","1","5","3","7","2","6","7","6","6","1","6","7","6","1","6","6","5","4","6","3","5","1","6","7","6","7","6","5","6","6","7","4","6","7","6","5","7","4","7","4","7","7","4","5","3","5","2","7","4","7","7","1","3","7","2","5","7","5","4","6","7","7","1","44","","","","Full-time","","","","","","","","","woman","","","white","","","","PHD","$160,001-$180,000"
72,"0","100","528","1","1","1","1","7","1","1","7","3","7","1","7","5","5","1","4","1","3","4","5","1","5","3","3","4","4","7","4","6","1","1","1","7","4","7","6","2","4","6","1","6","1","7","2","6","1","1","1","7","4","1","6","6","2","4","6","1","6","2","1","2","1","2","1","2","2","2","2","4","7","7","7","7","7","7","7","6","7","7","3","4","3","5","1","6","4","4","1","1","1","5","1","7","6","1","1","4","1","6","1","51","","","","Full-time","","","","","","","","","woman","","black","","","","","MA","$80,001-$100,000"
73,"0","100","539","1","1","1","5","7","6","6","5","7","4","6","5","6","5","5","6","6","4","5","7","4","5","4","7","5","6","6","6","7","4","6","6","5","5","4","6","3","5","4","5","6","7","5","6","6","5","7","6","7","6","1","5","4","6","7","5","5","6","6","6","6","7","5","5","4","7","5","6","5","6","6","5","7","7","6","7","6","6","5","4","3","3","4","4","6","5","6","5","6","6","7","5","5","7","6","5","6","6","4","7","33","","","nice","Full-time","","","","","","","","","woman","","","white","","","","MA","$60,001-$80,000"
74,"0","100","537","1","1","1","4","4","2","2","5","4","6","2","5","5","5","2","2","3","3","2","5","2","5","4","4","4","5","7","5","5","6","2","5","7","5","3","6","5","2","7","4","6","2","6","3","4","2","2","2","6","3","1","4","6","2","4","7","2","7","1","4","5","4","3","3","4","4","4","4","4","6","5","5","5","4","5","6","5","6","5","3","4","2","4","2","6","3","4","3","2","3","5","3","3","4","3","3","5","4","5","2","35","","","","Full-time","","","","","","","","","man","","","white","hispanic","","","4yearColl","$40,001-$60,000"
75,"0","100","438","1","1","1","3","7","1","1","7","4","3","1","6","6","5","3","3","1","3","6","6","7","6","3","3","4","5","7","2","6","1","1","2","7","4","6","7","4","4","7","1","7","1","7","1","4","1","1","1","7","1","1","7","7","1","5","7","1","7","1","1","1","2","1","1","1","3","2","2","6","7","7","7","7","6","7","7","7","6","6","3","5","1","5","2","7","4","7","1","1","1","7","1","7","7","2","1","4","1","7","1","48","","","","","Part-time","","","","","","","","woman","","","white","","","","GED","$100,001-$120,000"
76,"0","100","482","1","1","1","5","7","2","2","7","5","5","3","6","5","5","4","3","4","4","5","4","4","4","5","5","5","4","7","5","5","3","2","2","6","2","5","6","6","4","5","1","7","2","7","4","6","4","2","3","7","3","1","5","7","3","4","7","2","7","1","4","5","5","4","4","5","5","5","5","5","6","5","5","4","6","7","6","5","7","6","3","5","2","3","2","7","2","7","2","1","1","7","1","6","7","3","4","7","2","7","2","46","","","","Full-time","","","","","","","","","man","asian","","","","","","PHD","$100,001-$120,000"
77,"0","100","491","1","1","1","1","7","1","1","7","1","7","1","7","6","5","2","2","2","2","6","6","2","6","1","1","1","7","7","5","6","5","1","2","6","2","5","6","4","3","6","2","6","6","7","3","5","1","2","2","6","2","1","5","7","5","3","7","1","6","1","6","5","5","2","2","5","5","2","5","7","6","7","6","7","5","6","6","5","6","7","2","4","1","5","1","5","3","5","3","3","3","5","3","6","6","2","5","6","1","6","2","49","","","","","Part-time","","","","","","","","man","","","white","","","","2yearColl","$20,001-$40,000"
78,"0","100","500","1","1","1","1","7","1","1","7","1","7","1","6","7","5","1","1","1","1","7","7","1","7","1","1","1","7","7","2","6","3","1","1","7","3","6","7","1","6","7","1","7","1","6","2","3","2","3","1","6","3","1","6","7","2","4","6","1","7","1","1","1","1","1","1","1","1","1","1","5","7","7","7","7","7","7","7","7","7","7","3","5","2","5","1","5","5","5","4","1","2","5","4","5","6","2","7","4","1","7","1","33","","","","Full-time","","","","","","","","","woman","","","white","","","","4yearColl","$40,001-$60,000"
79,"0","100","513","1","1","1","4","4","2","3","5","5","5","3","3","5","5","5","5","5","5","6","3","5","4","3","4","5","2","7","4","5","2","1","2","6","3","5","6","3","4","7","2","6","2","6","4","4","3","2","1","5","2","1","6","5","2","5","6","1","7","2","5","5","6","4","5","5","3","4","5","5","4","3","5","3","3","4","5","3","5","3","3","3","2","3","3","5","4","5","3","2","2","6","2","6","5","4","3","5","2","4","2","35","","","","Full-time","","","","","","","","","man","","","white","","","","GED","$40,001-$60,000"
80,"0","100","530","1","1","1","1","3","3","4","6","2","5","3","5","5","5","2","3","1","2","1","6","5","6","2","3","3","4","6","5","6","2","2","4","5","3","6","6","3","6","6","1","7","1","6","3","3","3","2","1","5","1","1","7","7","3","5","6","1","7","2","1","5","5","3","2","3","3","3","2","6","6","4","6","3","3","6","6","6","7","4","2","4","2","4","3","5","3","4","4","1","1","4","2","3","4","4","2","5","1","4","1","38","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$60,001-$80,000"
81,"0","100","416","1","1","1","1","5","1","1","7","1","7","1","7","7","5","2","2","2","2","6","6","2","6","3","2","5","6","7","4","3","1","3","1","7","4","7","7","1","4","7","1","7","1","7","2","3","1","3","1","7","4","1","7","7","2","4","7","1","7","1","2","2","2","2","2","2","3","2","2","6","6","6","6","6","6","6","6","6","6","6","1","5","1","5","1","6","1","1","1","1","1","6","1","7","4","1","7","3","1","6","1","61","","","","Full-time","","","","","","","","","woman","","","white","","","","GED","$40,001-$60,000"
82,"0","100","456","1","1","1","1","7","1","1","7","1","7","1","7","5","5","1","1","1","1","7","7","7","7","1","1","1","7","7","1","4","1","1","1","7","4","3","7","1","7","7","1","7","1","7","1","1","1","4","1","7","4","1","4","7","1","6","7","1","7","1","1","2","6","5","1","5","5","4","4","7","7","7","2","7","7","7","7","7","7","5","1","5","1","5","1","5","1","4","1","3","1","5","1","7","7","1","7","7","1","7","1","42","","","I enjoyed this study, thank you for having me!","Full-time","","","","","","","","","man","","","white","","","","2yearColl","$80,001-$100,000"
83,"0","100","488","1","1","1","2","7","1","1","7","3","6","1","6","5","5","4","4","4","4","4","4","4","4","3","3","3","4","7","3","6","3","1","4","7","3","4","7","2","4","7","2","7","1","6","2","3","1","1","1","6","2","1","7","6","1","7","5","1","6","1","5","2","5","3","3","5","1","3","2","5","5","6","4","3","7","4","6","5","6","3","2","5","2","5","1","6","1","6","1","1","1","5","1","7","5","1","2","5","1","6","1","33","","","","Full-time","","","","","","","","","woman","","","white","","","","GED","$40,001-$60,000"
84,"0","100","488","1","1","1","2","7","1","1","6","2","6","1","4","4","5","5","6","6","6","2","4","6","4","1","1","1","7","7","4","5","4","1","5","6","5","3","6","6","4","6","6","6","2","6","4","5","2","2","4","7","2","1","5","5","3","4","5","2","5","2","2","2","5","1","2","6","3","7","6","7","6","4","7","2","4","4","4","6","2","2","1","3","1","3","1","4","1","1","3","1","1","4","1","7","1","1","7","7","1","3","1","28","","","","Full-time","","","","","","","","","man","asian","","","","","","GED","$40,001-$60,000"
85,"0","100","392","1","1","1","5","3","4","4","3","4","4","4","4","4","3","4","3","3","5","3","3","3","5","3","5","4","3","3","5","3","5","4","5","4","3","5","3","5","3","5","3","4","5","4","5","5","4","4","5","5","3","1","3","3","5","4","5","3","5","3","5","3","5","3","3","3","4","4","4","3","5","5","4","4","3","3","3","3","5","5","2","4","2","3","2","5","5","5","5","5","5","5","6","5","5","4","5","4","4","4","5","26","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$60,001-$80,000"
86,"0","100","436","1","1","1","1","7","1","1","7","1","6","1","7","6","5","1","1","1","1","6","6","1","6","2","2","3","5","7","1","4","1","2","1","7","1","7","6","1","5","7","1","6","2","7","1","5","1","4","1","7","1","1","6","6","1","6","6","1","7","2","1","1","1","2","1","2","1","3","5","5","6","6","6","6","6","6","6","6","6","6","1","4","1","4","1","5","2","4","1","3","1","5","2","6","5","1","6","5","1","5","3","68","","","","","","","","Retired","","","","","man","","","white","","","","GED","$0-$20,000"
87,"0","100","488","1","1","1","5","6","1","2","6","3","6","1","5","5","5","2","3","2","2","7","6","2","6","2","3","4","5","7","5","7","5","1","5","7","5","3","7","3","3","7","5","7","1","7","1","3","1","1","1","7","1","1","6","7","1","4","7","1","7","1","3","3","6","3","2","3","5","6","5","7","6","3","3","3","5","4","6","4","3","3","2","3","1","4","4","6","2","6","3","1","2","6","2","3","7","5","6","7","2","7","3","30","","","","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$180,001-$200,000"
88,"0","100","436","1","1","1","2","7","1","1","7","4","7","1","6","6","5","1","3","3","1","5","3","3","7","5","3","4","5","7","4","3","1","1","4","6","2","6","6","1","3","7","2","7","2","7","2","5","1","1","1","7","2","1","7","5","1","5","6","1","7","1","1","3","2","2","2","2","1","1","5","6","5","5","6","5","7","7","3","7","6","6","3","5","3","5","2","7","5","6","1","1","1","6","2","7","4","1","3","3","1","5","1","37","","","No additional comments at this time.","Full-time","","","","","","","","","man","","","white","","","","4yearColl","$120,001-$140,000"
89,"0","100","496","1","1","1","3","6","1","1","7","1","7","1","5","3","5","2","2","2","2","7","2","2","4","1","1","1","1","7","1","1","1","1","1","7","1","7","6","1","5","7","1","7","1","7","1","1","1","1","1","7","1","1","7","6","1","7","7","1","7","1","1","2","1","2","1","3","2","1","2","1","7","7","5","6","7","6","7","4","5","6","1","2","1","1","2","5","1","1","1","1","1","5","1","6","4","1","6","4","1","6","1","","","","","Full-time","","","","","","","","","man","","","white","","","","GED","$40,001-$60,000"
90,"0","100","493","1","1","1","6","4","2","2","4","6","2","5","5","5","5","4","5","6","5","2","2","7","4","2","5","6","3","7","5","6","6","1","3","7","6","3","7","3","2","7","3","7","2","7","2","6","1","1","1","7","1","1","5","7","2","4","7","1","7","1","2","3","2","2","3","3","4","1","3","6","5","5","5","5","3","6","7","6","6","6","1","4","1","5","3","2","1","4","2","3","4","2","1","7","1","1","7","1","1","1","4","28","","","None","Full-time","","","","","","","","","woman","asian","","","","","","4yearColl","$80,001-$100,000"
91,"0","100","408","1","1","1","5","5","6","5","4","7","7","6","7","4","5","5","4","5","4","7","5","5","7","5","7","5","6","7","3","7","1","2","2","7","3","7","7","3","2","7","1","7","3","7","2","3","1","3","1","7","2","1","6","7","2","3","7","1","7","4","1","1","1","1","1","1","1","1","1","1","7","7","7","7","7","7","7","7","7","7","3","3","3","3","1","7","4","7","1","1","1","7","1","1","7","1","1","7","1","7","1","33","","","","Full-time","","","","","","","","","man","","black","","","","","4yearColl","$100,001-$120,000"
92,"0","100","608","1","1","1","1","7","1","1","7","1","6","1","6","6","5","2","2","2","2","6","6","2","6","1","1","1","6","7","1","7","1","1","1","7","1","6","7","1","4","7","1","7","1","7","1","4","1","1","1","7","1","1","6","7","1","6","7","1","7","1","1","1","1","1","1","1","1","2","1","2","7","7","7","7","7","7","7","7","7","6","2","5","1","5","1","5","1","5","1","1","1","5","1","7","4","1","7","5","1","4","1","33","","","","Full-time","","","","","","","","","woman","","","white","","","","4yearColl","$20,001-$40,000"
